kernel_name,dtype,input_size,runtime_ms,correct,device_name,gws0,gws1,gws2,lws0,lws1,lws2,flops_est,bw_GBps
scan_shared,FP32,4096,0.044211,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,0.741173
scan_shared,FP64,4096,0.05246,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",4096,1,1,256,1,1,4096,1.24926
spmv_csr,FP32,128,0.172395,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1280,0.0386322
spmv_csr,FP64,128,0.218346,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1280,0.0469164
spmv_csr,FP32,256,0.021441,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,2560,0.621053
spmv_csr,FP64,256,0.002317,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,2560,8.84074
spmv_csr,FP32,512,0.060852,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,256,1,1,5120,0.437586
spmv_csr,FP64,512,0.038025,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,256,1,1,5120,1.07729
conv2d_global,FP32,16,0.212726,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,4608,0.00979664
conv2d_global,FP64,16,0.189947,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,4608,0.021943
conv2d_global,FP32,32,0.041088,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,18432,0.200253
conv2d_global,FP64,32,0.042163,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,18432,0.390295
conv2d_global,FP32,64,0.052296,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,73728,0.627276
conv2d_global,FP64,64,0.055438,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,73728,1.18345
conv2d_shared,FP32,16,0.194398,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,4608,0.0107203
conv2d_shared,FP64,16,0.196324,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,4608,0.0212302
conv2d_shared,FP32,32,0.055465,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,18432,0.148346
conv2d_shared,FP64,32,0.041323,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,18432,0.398229
conv2d_shared,FP32,64,0.069213,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,73728,0.473957
conv2d_shared,FP64,64,0.038693,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,73728,1.6956
depthwiseconv_global,FP32,16,0.235491,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,32,16,16,1,147456,0.283187
depthwiseconv_global,FP64,16,0.191091,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,32,16,16,1,147456,0.697971
depthwiseconv_global,FP32,32,0.115008,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,16,16,1,589824,2.28937
depthwiseconv_global,FP64,32,0.114408,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,16,16,1,589824,4.60276
depthwiseconv_global,FP32,64,0.292201,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,32,16,16,1,2.3593e+06,3.59249
depthwiseconv_global,FP64,64,0.348183,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,32,16,16,1,2.3593e+06,6.02975
depthwiseconv_tiled,FP32,16,0.202058,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,32,8,8,1,147456,0.330044
depthwiseconv_tiled,FP64,16,0.206521,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,32,8,8,1,147456,0.645823
depthwiseconv_tiled,FP32,32,0.105648,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,8,8,1,589824,2.4922
depthwiseconv_tiled,FP64,32,0.127021,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,8,8,1,589824,4.14571
depthwiseconv_tiled,FP32,64,0.249046,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,32,8,8,1,2.3593e+06,4.215
depthwiseconv_tiled,FP64,64,0.371116,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,32,8,8,1,2.3593e+06,5.65714
softmax_basic,FP32,64,0.187894,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.00272494
softmax_basic,FP64,64,0.206762,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,256,0.00495255
softmax_basic,FP32,128,0.005435,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.188408
softmax_basic,FP64,128,0.014922,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,512,0.137247
softmax_basic,FP32,256,0.00615,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1024,0.333008
softmax_basic,FP64,256,0.005899,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",256,1,1,256,1,1,1024,0.694355
