kernel_name,dtype,input_size,runtime,correct,device_name
matmul_shared,FP32,32,0.049692,PASS,OpenCL
matmul_shared,FP64,32,0.067526,PASS,OpenCL
matmul_shared,FP32,64,0.108165,PASS,OpenCL
matmul_shared,FP64,64,0.134845,PASS,OpenCL
matmul_shared,FP32,128,0.418595,PASS,OpenCL
matmul_shared,FP64,128,0.474005,PASS,OpenCL
reduction_global,FP32,256,0.19025,PASS,OpenCL
reduction_global,FP64,256,0.175689,PASS,OpenCL
reduction_global,FP32,1024,0.044154,PASS,OpenCL
reduction_global,FP64,1024,0.036288,PASS,OpenCL
reduction_global,FP32,4096,0.044937,PASS,OpenCL
reduction_global,FP64,4096,0.044068,PASS,OpenCL
reduction_shared,FP32,256,0.194449,PASS,OpenCL
reduction_shared,FP64,256,0.20192,PASS,OpenCL
reduction_shared,FP32,1024,0.040515,PASS,OpenCL
reduction_shared,FP64,1024,0.028793,PASS,OpenCL
reduction_shared,FP32,4096,0.045967,PASS,OpenCL
reduction_shared,FP64,4096,0.051578,PASS,OpenCL
scan_shared,FP32,256,0.184965,PASS,OpenCL
scan_shared,FP64,256,0.212182,PASS,OpenCL
scan_shared,FP32,1024,0.072175,FAIL,OpenCL
scan_shared,FP64,1024,0.061042,FAIL,OpenCL
scan_shared,FP32,4096,0.044211,FAIL,OpenCL
scan_shared,FP64,4096,0.05246,FAIL,OpenCL
spmv_csr,FP32,128,0.172395,PASS,OpenCL
spmv_csr,FP64,128,0.218346,PASS,OpenCL
spmv_csr,FP32,256,0.021441,PASS,OpenCL
spmv_csr,FP64,256,0.002317,PASS,OpenCL
spmv_csr,FP32,512,0.060852,PASS,OpenCL
spmv_csr,FP64,512,0.038025,PASS,OpenCL
conv2d_global,FP32,16,0.212726,PASS,OpenCL
conv2d_global,FP64,16,0.189947,PASS,OpenCL
conv2d_global,FP32,32,0.041088,PASS,OpenCL
conv2d_global,FP64,32,0.042163,PASS,OpenCL
conv2d_global,FP32,64,0.052296,PASS,OpenCL
conv2d_global,FP64,64,0.055438,PASS,OpenCL
conv2d_shared,FP32,16,0.194398,PASS,OpenCL
conv2d_shared,FP64,16,0.196324,PASS,OpenCL
conv2d_shared,FP32,32,0.055465,PASS,OpenCL
conv2d_shared,FP64,32,0.041323,PASS,OpenCL
conv2d_shared,FP32,64,0.069213,PASS,OpenCL
conv2d_shared,FP64,64,0.038693,PASS,OpenCL
depthwiseconv_global,FP32,16,0.235491,FAIL,OpenCL
depthwiseconv_global,FP64,16,0.191091,FAIL,OpenCL
depthwiseconv_global,FP32,32,0.115008,FAIL,OpenCL
depthwiseconv_global,FP64,32,0.114408,FAIL,OpenCL
depthwiseconv_global,FP32,64,0.292201,FAIL,OpenCL
depthwiseconv_global,FP64,64,0.348183,FAIL,OpenCL
depthwiseconv_tiled,FP32,16,0.202058,FAIL,OpenCL
depthwiseconv_tiled,FP64,16,0.206521,FAIL,OpenCL
depthwiseconv_tiled,FP32,32,0.105648,FAIL,OpenCL
depthwiseconv_tiled,FP64,32,0.127021,FAIL,OpenCL
depthwiseconv_tiled,FP32,64,0.249046,FAIL,OpenCL
depthwiseconv_tiled,FP64,64,0.371116,FAIL,OpenCL
softmax_basic,FP32,64,0.187894,FAIL,OpenCL
softmax_basic,FP64,64,0.206762,FAIL,OpenCL
softmax_basic,FP32,128,0.005435,FAIL,OpenCL
softmax_basic,FP64,128,0.014922,FAIL,OpenCL
softmax_basic,FP32,256,0.00615,FAIL,OpenCL
softmax_basic,FP64,256,0.005899,FAIL,OpenCL
layernorm_basic,FP32,64,0.204947,PASS,OpenCL
layernorm_basic,FP64,64,0.186827,PASS,OpenCL
layernorm_basic,FP32,128,0.005344,PASS,OpenCL
layernorm_basic,FP64,128,0.005046,PASS,OpenCL
layernorm_basic,FP32,256,0.004684,PASS,OpenCL
layernorm_basic,FP64,256,0.025814,PASS,OpenCL
activation_relu,FP32,1024,0.218487,PASS,OpenCL
activation_relu,FP64,1024,0.190072,PASS,OpenCL
activation_relu,FP32,4096,0.038957,PASS,OpenCL
activation_relu,FP64,4096,0.052287,PASS,OpenCL
activation_gelu,FP32,1024,0.207781,FAIL,OpenCL
activation_gelu,FP64,1024,0.231473,FAIL,OpenCL
activation_gelu,FP32,4096,0.078866,FAIL,OpenCL
activation_gelu,FP64,4096,0.08776,FAIL,OpenCL
bfs_basic,INT,256,0.197176,PASS,OpenCL
bfs_basic,INT,512,0.045974,PASS,OpenCL
dfs_basic,INT,256,0.216646,PASS,OpenCL
dfs_basic,INT,512,0.044533,PASS,OpenCL
pagerank_basic,FP32,128,0.179829,PASS,OpenCL
pagerank_basic,FP64,128,0.175217,PASS,OpenCL
pagerank_basic,FP32,256,0.006109,PASS,OpenCL
pagerank_basic,FP64,256,0.006913,PASS,OpenCL
stencil2d_3x3,FP32,32,0.219156,FAIL,OpenCL
stencil2d_3x3,FP64,32,0.206716,FAIL,OpenCL
stencil2d_3x3,FP32,64,0.047875,FAIL,OpenCL
stencil2d_3x3,FP64,64,0.058929,FAIL,OpenCL
stencil2d_5x5,FP32,32,0.189227,FAIL,OpenCL
stencil2d_5x5,FP64,32,0.180481,FAIL,OpenCL
stencil2d_5x5,FP32,64,0.05805,FAIL,OpenCL
stencil2d_5x5,FP64,64,0.070532,FAIL,OpenCL
stencil3d_global,FP32,16,0.187951,FAIL,OpenCL
stencil3d_global,FP64,16,0.204523,FAIL,OpenCL
stencil3d_global,FP32,32,0.083024,FAIL,OpenCL
stencil3d_global,FP64,32,0.085834,FAIL,OpenCL
stencil3d_shared,FP32,16,0.229086,FAIL,OpenCL
stencil3d_shared,FP64,16,0.209384,FAIL,OpenCL
stencil3d_shared,FP32,32,0.116849,FAIL,OpenCL
stencil3d_shared,FP64,32,0.100172,FAIL,OpenCL
histogram_global,INT,1024,0.173301,PASS,OpenCL
histogram_global,INT,4096,0.081807,PASS,OpenCL
histogram_shared,INT,1024,0.23194,PASS,OpenCL
histogram_shared,INT,4096,0.072512,PASS,OpenCL
sort_bitonic,INT,256,0.471894,FAIL,OpenCL
sort_bitonic,INT,1024,0.715137,FAIL,OpenCL
montecarlo_basic,FP32,1024,0.191831,PASS,OpenCL
montecarlo_basic,FP64,1024,0.211787,PASS,OpenCL
montecarlo_basic,FP32,4096,0.054438,PASS,OpenCL
montecarlo_basic,FP64,4096,0.057234,PASS,OpenCL
fft1d_global,FP32,256,0.233761,FAIL,OpenCL
fft1d_global,FP64,256,0.260409,FAIL,OpenCL
fft1d_global,FP32,1024,0.401136,FAIL,OpenCL
fft1d_global,FP64,1024,0.4281,FAIL,OpenCL
fft1d_global,FP32,4096,0.640061,FAIL,OpenCL
fft1d_global,FP64,4096,0.86006,FAIL,OpenCL
fft1d_staged,FP32,256,0.319561,FAIL,OpenCL
fft1d_staged,FP64,256,0.29167,FAIL,OpenCL
fft1d_staged,FP32,1024,0.390643,FAIL,OpenCL
fft1d_staged,FP64,1024,0.412442,FAIL,OpenCL
fft1d_staged,FP32,4096,1.35208,FAIL,OpenCL
fft1d_staged,FP64,4096,1.03213,FAIL,OpenCL
Vector Add,FP32,64,0.0144,PASS,PEZY-SC3
Vector Add,FP32,256,0.0141,PASS,PEZY-SC3
Vector Add,FP32,1024,0.0141,PASS,PEZY-SC3
Vector Add,FP32,4096,0.0145,PASS,PEZY-SC3
Vector Add,FP64,64,0.0138,PASS,PEZY-SC3
Vector Add,FP64,256,0.0139,PASS,PEZY-SC3
Vector Add,FP64,1024,0.014,PASS,PEZY-SC3
Vector Add,FP64,4096,0.0152,PASS,PEZY-SC3
Vector Dot,FP32,256,0.0146,PASS,PEZY-SC3
Vector Dot,FP32,1024,0.0144,PASS,PEZY-SC3
Vector Dot,FP32,4096,0.0147,PASS,PEZY-SC3
Vector Dot,FP32,256,0.0183,PASS,PEZY-SC3
Vector Dot,FP32,1024,0.0183,PASS,PEZY-SC3
Vector Dot,FP32,4096,0.0204,PASS,PEZY-SC3
Vector Dot,FP64,256,0.0144,PASS,PEZY-SC3
Vector Dot,FP64,1024,0.0146,PASS,PEZY-SC3
Vector Dot,FP64,4096,0.0152,PASS,PEZY-SC3
Vector Dot,FP64,256,0.0189,PASS,PEZY-SC3
Vector Dot,FP64,1024,0.0189,PASS,PEZY-SC3
Vector Dot,FP64,4096,0.0201,PASS,PEZY-SC3
GEMV,FP32,16,0.0152,PASS,PEZY-SC3
GEMV,FP32,128,0.0302,PASS,PEZY-SC3
GEMV,FP64,64,0.0208,PASS,PEZY-SC3
GEMV,FP64,128,0.0208,PASS,PEZY-SC3
MatMul,FP32,128,0.0528,PASS,PEZY-SC3
MatMul,FP64,128,0.6297,PASS,PEZY-SC3
Conv2D,FP32,64,0.0161,PASS,PEZY-SC3
Conv2D,FP64,64,0.0273,PASS,PEZY-SC3
LayerNorm,FP32,256,0.1681,PASS,PEZY-SC3
LayerNorm,FP64,256,0.1938,PASS,PEZY-SC3
Graph,FP32,512,0.0164,PASS,PEZY-SC3
Graph,FP64,512,0.0153,PASS,PEZY-SC3
FFT,FP32,256,7.1085,PASS,PEZY-SC3
Histogram,FP32,1024,0.3755,PASS,PEZY-SC3
Histogram,FP32,1024,0.4849,FAIL,PEZY-SC3
MonteCarloPi,FP32,1024,0.0145,PASS,PEZY-SC3
MonteCarloPi,FP32,4096,0.0148,PASS,PEZY-SC3
Stencil2D 3x3,FP32,64,0.0166,PASS,PEZY-SC3
Stencil2D 3x3,FP64,64,0.0164,PASS,PEZY-SC3
Stencil2D 5x5,FP32,64,0.0188,PASS,PEZY-SC3
Stencil2D 5x5,FP64,64,0.0188,PASS,PEZY-SC3
Stencil3D Global,FP32,32,0.0209,PASS,PEZY-SC3
Stencil3D Global,FP64,32,0.0206,PASS,PEZY-SC3
Stencil3D Shared,FP32,16,2.1032,FAIL,PEZY-SC3
Stencil3D Shared,FP32,32,8.5956,FAIL,PEZY-SC3
