kernel_name,dtype,input_size,runtime_ms,correct,device_name,gws0,gws1,gws2,lws0,lws1,lws2,flops_est,bw_GBps
spmv_csr,FP32,512,0.052564,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,256,1,1,5120,0.506582
spmv_csr,FP64,512,0.041402,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",512,1,1,256,1,1,5120,0.989421
conv2d_global,FP32,16,0.120587,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,4608,0.0172821
conv2d_global,FP64,16,0.099578,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,4608,0.0418566
conv2d_global,FP32,32,0.040854,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,18432,0.2014
conv2d_global,FP64,32,0.038728,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,18432,0.424912
conv2d_global,FP32,64,0.04099,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,73728,0.800293
conv2d_global,FP64,64,0.062451,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,73728,1.05055
conv2d_shared,FP32,16,0.123388,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,4608,0.0168898
conv2d_shared,FP64,16,0.154037,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,1,16,16,1,4608,0.0270584
conv2d_shared,FP32,32,0.048212,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,18432,0.170663
conv2d_shared,FP64,32,0.048938,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,1,16,16,1,18432,0.336262
conv2d_shared,FP32,64,0.058175,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,73728,0.563885
conv2d_shared,FP64,64,0.052437,true,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,1,16,16,1,73728,1.25118
depthwiseconv_global,FP32,16,0.171468,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,32,16,16,1,147456,0.388924
depthwiseconv_global,FP64,16,0.14484,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,32,16,16,1,147456,0.920851
depthwiseconv_global,FP32,32,0.124425,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,16,16,1,589824,2.1161
depthwiseconv_global,FP64,32,0.114854,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,16,16,1,589824,4.58488
depthwiseconv_global,FP32,64,0.270986,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,32,16,16,1,2.3593e+06,3.87374
depthwiseconv_global,FP64,64,0.284089,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",64,64,32,16,16,1,2.3593e+06,7.39013
depthwiseconv_tiled,FP32,16,0.194208,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,32,8,8,1,147456,0.343384
depthwiseconv_tiled,FP64,16,0.149303,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",16,16,32,8,8,1,147456,0.893324
depthwiseconv_tiled,FP32,32,0.288621,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,8,8,1,589824,0.912255
depthwiseconv_tiled,FP64,32,0.146658,false,"pthread-Intel(R) Core(TM) Ultra 9 185H",32,32,32,8,8,1,589824,3.59061
